Document Title;Publication Year;Authors;Source Title;Abstract;Library;DOI
Towards strong continuous consistency in edge-assisted VR-SGs: Delay-differences sensitive online task redistribution;;Yunqi Sun, Hesheng Sun, Tuo Cao, Mingtao Ji, Zhuzhong Qian, Lingkun Meng, Dongxu Wang, Xiangyu Li;Computer Networks;Virtual Reality Serious Games (VR-SGs) integrate immersive virtual reality (VR) technology with instruction-oriented serious games (SGs), aiming to improve the efficiency of educational and training programs. VR-SG’s training effectiveness is highly contingent upon the system’s continuous consistency level. The strong continuous consistency ensures the same VR-SG world among different players, enabling them to make better decisions based on the individual game world’s context. Although edge computing enables a low-delay VR system for geographically dispersed players, the delay differences among players highlight the need for strong continuous consistency. Specifically, the differences in temporal and spatial dimensions among different end-players result in significant variations in their perceived end-to-end delay, further exhibiting different game worlds. We first propose a long-term task redistribution problem to enhance the continuous consistency for edge-assisted VR-SGs while controlling the consistency loss and player-perceived delay. To solve the above time-coupled problem, we design an online polynomial-time algorithm called the Online Continuous Consistency Enhancement (OCCE) algorithm. OCCE can effectively obtain the task redistribution scheme with the integrated randomized rounding and the Constraints-Firefighter Algorithm. We prove that the continuous consistency optimality of OCCE can approximate the optimal offline solution. Finally, the extensive evaluations based on real-world datasets and preparatory measurements show that, at the player scale of 30, OCCE improves continuous consistency by at least 2.38× compared to alternatives in the average case.;ScienceDirect;10.1016/j.comnet.2024.111003.
DQN-based intelligent controller for multiple edge domains;;Alejandro Llorens-Carrodeguas, Cristina Cervelló-Pastor, Francisco Valera;Journal of Network and Computer Applications;Advanced technologies like network function virtualization (NFV) and multi-access edge computing (MEC) have been used to build flexible, highly programmable, and autonomously manageable infrastructures close to the end-users, at the edge of the network. In this vein, the use of single-board computers (SBCs) in commodity clusters has gained attention to deploy virtual network functions (VNFs) due to their low cost, low energy consumption, and easy programmability. This paper deals with the problem of deploying VNFs in a multi-cluster system formed by this kind of node which is characterized by limited computational and battery capacities. Additionally, existing platforms to orchestrate and manage VNFs do not consider energy levels during their placement decisions, and therefore, they are not optimized for energy-constrained environments. In this regard, this study proposes an intelligent controller as a global allocation mechanism based on deep reinforcement learning (DRL), specifically on deep Q-network (DQN). The conceived mechanism optimizes energy consumption in SBCs by selecting the most suitable nodes across several clusters to deploy event requests in terms of nodes’ resources and events’ demands. A comparison with available allocation algorithms revealed that our solution required 28% fewer resource costs and reduced 35% the energy consumption in the clusters’ computing nodes while maintaining high levels of acceptance ratio.;ScienceDirect;10.1016/j.jnca.2023.103705.
Advanced visualization of ergonomic assessment data through industrial Augmented Reality;;Alessandro Evangelista, Vito Modesto Manghisi, Sara Romano, Vito De Giglio, Lorenzo Cipriani, Antonio Emmanuele Uva;Procedia Computer Science;The industrial transition to the 4.0 paradigm defines new scenarios in which the operator plays a central role within the industrial ecosystem. Thanks to the enabling technologies of Industry 4.0, it is possible to effectively improve operators' working conditions by applying the Human-Centered approach. Nowadays, one of the main challenges is to reduce work-related musculoskeletal disorders resulting from ergonomically incorrect working conditions in order to prevent the occurrence of occupational diseases. To this end, we developed a software tool that leverages a low-cost D-RGB camera (Kinect v2) to track the human body and an Augmented Reality (AR) visualization system based on Microsoft HoloLens 2. The tool assesses postural ergonomic risk in real-time according to the Rapid Upper Limb Assessment (RULA) metric. The proposed AR application allows a three-dimensional visualization of postures, which can be observed directly superimposed on the operator's body in the real scene. This approach aims to optimize the understanding of postures by creating a link between real information (operator's body) and virtual information (virtual skeleton, RULA score, and angles) by providing a simple and immediate user interface for ergonomists.;ScienceDirect;10.1016/j.procs.2022.12.346.
Encoder decoder-based Virtual Physically Unclonable Function for Internet of Things device authentication using split-learning;;Raviha Khan, Hossien B. Eldeeb, Brahim Mefgouda, Omar Alhussein, Hani Saleh, Sami Muhaidat;Computers & Security;"Internet of Things (IoT) networks have been deployed widely making device authentication a crucial requirement that poses challenges related to security vulnerabilities, power consumption, and maintenance overheads. While current cryptographic techniques secure device communication; storing keys in Non-Volatile Memory (NVM) poses challenges for edge devices. Physically Unclonable Functions (PUFs) offer robust hardware-based authentication but introduce complexities such as hardware production and conservation expenses and susceptibility to aging effects. This paper’s main contribution is a novel scheme based on split learning, utilizing an encoder–decoder architecture at the device and server nodes, to first create a Virtual PUF (VPUF) that addresses the shortcomings of the hardware PUF and secondly perform device authentication. The proposed VPUF reduces maintenance and power demands compared to the hardware PUF while enhancing security by transmitting latent space representations of responses between the node and the server. Also, since the encoder is placed on the node, while the decoder is on the server, this approach further reduces the computational load and processing time on the resource-constrained node. The obtained results demonstrate the effectiveness of the proposed VPUF scheme in modeling the behavior of the hardware-based PUF. Additionally, we investigate the impact of Gaussian noise in the communication channel between the server and the node on the system performance. The obtained results further reveal that the achieved authentication accuracy of the proposed scheme is 100%, as measured by the validation rate of the legitimate nodes. This highlights the superior performance of the proposed scheme in emulating the capabilities of a hardware-based PUF while providing secure and efficient authentication in IoT networks.";ScienceDirect;10.1016/j.cose.2024.104164.
An internet of secure and private things: A service-oriented architecture;;Ahmad Showail, Rashid Tahir, Muhammad Fareed Zaffar, Muhammad Haris Noor, Mohammed Al-Khatib;Computers & Security;Low-cost networked IoT devices are fast becoming commonplace. From implanted medical devices to motion-activated surveillance cameras and from driverless smart cars to voice-operated home management systems, IoT devices continue to permeate further and deeper into our lives. However, this widespread adoption of IoT devices has also given rise to a wide range of security, privacy and trust issues that are unique to the IoT ecosystem. Conventional solutions are ill-suited for the IoT domain due to limited resources, network dynamics, and evolving trust boundaries. Hence, novel mechanisms are needed to address the specific challenges of the IoT landscape. To this end, we propose a user-centric cloud-based service that allows device owners to have fine-grained control over what kind and how much data is shared through their IoT devices. Our scheme builds on top of Intel Software Guard Extensions (SGX) to instantiate secure virtual clones (shadows) of actual devices in the cloud, substantially reducing the attack surface for IoT networks. Furthermore, a scalable infrastructure in the cloud allows us to deploy sophisticated policy enforcement and data scrubbing mechanisms on a per application basis giving users explicit control over data sharing. The presented approach requires little effort on part of device vendors and users as the service provider handles the bulk of the work. We demonstrate the effectiveness of our approach empirically by implementing the service on SGX hardware and deploying advanced data cleansing policies on device-generated data.;ScienceDirect;10.1016/j.cose.2022.102776.
MCED-H: An efficient scheduling policy for energy harvesting mixed-criticality real-time systems;;Mostafa Tamimipour, Hakem Beitollahi, Maryline Chetto;Journal of Systems Architecture;Real-time systems traditionally rely on batteries, which have limited lifespans. Energy harvesting offers a sustainable alternative but introduces challenges due to the unpredictable nature of environmental energy sources. Integrating energy harvesting with mixed-criticality (MC) features further complicates system design. This paper presents the MCED-H algorithm, a novel approach for scheduling MC tasks in energy-constrained environments. MCED-H (Mixed-Criticality ED-H) is an enhanced scheduling algorithm based on ED-H, which itself is an extension of EDF for energy-harvesting systems, tailored specifically for mixed-criticality real-time applications. By employing virtual deadlines and adaptive mode switching, MCED-H effectively manages energy resources and ensures the timely completion of critical tasks. Experimental results demonstrate significant improvements in system reliability and energy efficiency compared to state-of-the-art techniques.;ScienceDirect;10.1016/j.sysarc.2025.103505.
Joint DRL and GCN-based Cloud-Edge-End collaborative cache optimization for metaverse scenarios;;Zheng Wan, Shenglu Zhao, Cuifang Wang, Yifeng Tan, Xiaogang Dong;Computer Networks;The rapid emergence of the Metaverse demands deeply immersive and highly responsive virtual experiences, necessitating ultra-high transmission speeds and extremely low latency. Centralized data processing methods are facing increasing constraints in managing large-scale user data due to limitations in computing power, storage capacity, and network bandwidth. To address these challenges, this paper presents a Cloud-Edge-End transmission framework for Metaverse scenarios aimed at optimizing resource allocation, reducing latency, and enhancing rendering efficiency. We propose a distributed trajectory prediction (DTP) algorithm and develop a distributed trajectory prediction cluster system that utilizes the FastDTW algorithm to predict trajectory segments and calculate subscene popularity. Additionally, a real-time collaborative cache optimization scheme (GCNAC), based on GCN and DRL, is introduced to dynamically adjust caching strategies according to subscene popularity, thereby improving cache hit rates and reducing cache replacement frequencies. Simulations demonstrate that the GCNAC scheme markedly outperforms existing methods in target subscene cache hit rates and transmission latency across varying capacities, achieving a 43.49% reduction in edge replacement frequency. This study provides a practical solution for terminal pre-rendering of Metaverse scenes, offering both theoretical support and practical guidance for the development of scene rendering technologies and the generative Metaverse.;ScienceDirect;10.1016/j.comnet.2025.111239.
Reliable auxiliary communication of UAV via relay cache optimization;;Xin He, Meixu Lin;Computer Communications;With the continuous reduction of drone costs and the miniaturization of equipment, many new applications have emerged in the civil and commercial fields. The remote sensing technology of Unmanned Aerial Vehicle (UAV) is used to manage and partition farmland accurately. Compared with the traditional field grid sampling method, UAV remote sensing technology can break through operating conditions, continuously collect data at low altitudes, monitor the area more flexibly, and significantly reduce labor and safety costs. Since UAVs can only provide data transmission services to users through wireless backhaul links established with ground base stations, the need to access the network is easy to lead to the disclosure of user privacy. The capacity of wireless backhaul links is limited, limiting the transmission rate of drones and reducing the user’s quality of service. Therefore, we apply edge caching technology to the assisted relay communication network to study the impact of caching technology on the performance of mobile relay systems. In particular, we propose the horizontal position design method in the buffer auxiliary relay single-user system, and the 3D position design method in the buffer auxiliary relay multi-user system. Position system, which can be reached by the maximum system average and the optimal speed, is designed. Besides, with the help of objective function conversion and classic derivation analysis method, the semi-closed expression of the optimal position of the UAV is obtained, and the intersection of the mobile relay end velocity and the user end velocity is used as the initial value. Meanwhile, the solution formula is substituted after continuous iteration so that the best advantage of local velocity can be obtained. In addition, mobile relay system is deployed to establish a two-hop wireless link to achieve reliable communication between Base Station (BS) and users security trust. The simulation experiment proves that compared with other methods, the method proposed in this paper has considerable performance improvement in power convergence, speed, trajectory path loss, and energy cost, which can provide higher-quality communication services for users in the system and better support for the broad application of drones.;ScienceDirect;10.1016/j.comcom.2021.11.024.
MGTN-DSI: A multi-sensor graph transfer network considering dual structural information for fault diagnosis under varying working conditions;;Jianjie Liu, Xianfeng Yuan, Xilin Yang, Weijie Zhu, Yansong Zhang, Tianyi Ye, Xinxin Yao, Fengyu Zhou;Advanced Engineering Informatics;In recent years, mechanical systems have increasingly integrated multiple sensors to monitor equipment status more effectively. However, extracting domain-invariant features from multi-sensor data and adapting the diagnostic model to significant variations in operating conditions remain challenging tasks. To address these issues, a novel multi-sensor graph transfer network considering dual structural information (MGTN-DSI) is designed for fault diagnosis under varying working conditions. Firstly, we develop an advanced multi-sensor feature extraction mechanism.Specifically, on the one hand, a multi-sensor collaborative fusion layer is proposed to uncover the intrinsic connections among different sensor data. On the other hand, a relationship graph between data points of the fused high-level features is constructed using a graph convolutional network with constrained filters. Secondly, a joint alignment method using a virtual discriminator is proposed to simultaneously align both subdomain and global distributions. The extensive experiments conducted on a public fault diagnosis dataset and a practical fault diagnosis test platform indicate that the proposed MGTN-DSI has higher accuracy and better generalization ability than other state-of-the-art comparison methods.;ScienceDirect;10.1016/j.aei.2025.103119.
A DNN partitioning framework with controlled lossy mechanisms for edge-cloud collaborative intelligence;;Hyochan Kim, Ji Sub Choi, Jungrae Kim, Jong Hwan Ko;Future Generation Computer Systems;Collaborative intelligence (CI) is an approach used to accelerate deep neural network computations on IoT edge devices by offloading certain DNN computations to high-performance cloud servers. This offloading process involves transferring a large volume of feature data between the IoT edge device and the cloud servers, resulting in significant transfer time overhead that contributes to the overall end-to-end latency. Despite its importance, CI research has largely overlooked the impact of an unstable network environment on transfer time, leading to suboptimal latency in real-world scenarios. In light of this, we propose CO-PILOT, a novel partition framework that aims to minimize end-to-end latency while preserving the original model accuracy. CO-PILOT achieves this by finely controlling various lossy mechanisms, such as compression level and transport protocol, and strategically selecting error-robust layers as partition points to enhance resilience against network conditions and lossy mechanisms. The results demonstrate that CO-PILOT can reduce end-to-end latency by up to 85% with less than 1% accuracy degradation, all without requiring model retraining.;ScienceDirect;10.1016/j.future.2024.01.006.
A flexible algorithm to offload DAG applications for edge computing;;Gabriel F.C. de Queiroz, José F. de Rezende, Valmir C. Barbosa;Journal of Network and Computer Applications;"Multi-access Edge Computing (MEC) is an enabling technology to leverage new network applications, such as virtual/augmented reality, by providing faster task processing at the network edge. This is done by deploying servers closer to the end users to run the network applications. These applications are often intensive in terms of task processing, memory usage, and communication; thus mobile devices may take a long time or even not be able to run them efficiently. By transferring (offloading) the execution of these applications to the servers at the network edge, it is possible to achieve a lower completion time (makespan) and meet application requirements. However, offloading multiple entire applications to the edge server can overwhelm its hardware and communication channel, as well as underutilize the mobile devices’ hardware. In this paper, network applications are modeled as Directed Acyclic Graphs (DAGs) and partitioned into tasks, and only part of these tasks are offloaded to the edge server. This is the DAG application partitioning and offloading problem, which is known to be NP-hard. To approximate its solution, this paper proposes the FlexDO algorithm. FlexDO combines a greedy phase with a permutation phase to find a set of offloading decisions, and then chooses the one that achieves the shortest makespan. FlexDO is compared with a proposal from the literature and two baseline solutions, considering realistic DAG applications extracted from the Alibaba Cluster Trace Program. FlexDO results are consistently only 3.9% to 8.9% above the optimal makespan in all test scenarios, which include different levels of CPU availability, a multi-user case, and different communication channel transmission rates. FlexDO outperforms both baseline solutions by a wide margin, and is three times closer to the optimal makespan than its competitor. It achieves up to 87% similarity with the optimal decision and does not burden the edge server.";ScienceDirect;10.1016/j.jnca.2023.103791.
Neighbor-aware shared container instance warming framework for serverless edge computing;;Yumi Kim, Bokyeong Kim, Taewon Song, Haneul Ko;Future Generation Computer Systems;"In serverless edge computing, cold starts can hinder timely task execution. In this paper, we propose a neighbor-aware shared container instance warming (NA-SCIW) framework. NA-SCIW employs two key concepts: (1) shared container instances; and (2) a cooperative keep-warming mechanism. By enabling multiple IoT devices to share a container instance, the framework ensures that as long as at least one request is made, the instance remains warm, preventing cold starts. However, if no requests are generated for a certain period, the shared instance transitions to a cold state. To mitigate this, NA-SCIW introduces a cooperative keep-warming mechanism, where each IoT device strategically decides whether to send a virtual request based on the actions of nearby devices. We formulate the problem as a constrained stochastic game model, aiming to minimize cold start occurrences while keeping the average additional traffic overhead and energy outage probability of IoT devices within acceptable limits. To solve this model, we develop an algorithm based on best response dynamics. Evaluation results demonstrate that NA-SCIW effectively reduces cold start probability while ensuring low traffic overhead and minimal energy depletion for IoT devices.";ScienceDirect;10.1016/j.future.2025.107986.
