Title;Year;Authors;Source title;Abstract;Library;DOI
Enhancing Intelligent Robot Perception with a Zero-Shot Detection Framework for Corner Casting;2025;"Kee E.; Chong J.J.; Choong Z.J.; Lau M.";Electronics (Switzerland);This study presents a zero-shot object detection framework for corner casting detection in shipping container operations, leveraging edge computing for intelligent robotic perception and control. The proposed system integrates Grounding DINO on a Raspberry Pi, utilizing Referring Expression Comprehension (REC) and Additional Feature Keywords (AFKs) to enable precise corner casting localization without model retraining. This approach reduces computational overhead while ensuring real-time deployment suitability for robotics applications. A comparative evaluation against three SSD-based models—SSD320 MobileNet-V2 FPNLite, MobileNet-V2, and EfficientDet-Lite0—reveals that Grounding DINO achieves a 7.14% higher detection score. Furthermore, a statistical effect size analysis using Cohen’s d (d = 2.2) confirms a significant performance advantage, reinforcing Grounding DINO’s efficacy in zero-shot scenarios. These findings underscore the potential of LLM-driven object detection in resource-constrained environments, offering a scalable and adaptable solution for intelligent perception and control in robotics. © 2025 by the author.;Scopus;10.3390/electronics14091887
A Neural Rendering Coprocessor With Optimized Ray Representation and Marching;2025;"Yuan Z.; Yuan B.; Rao C.; Zhu Y.; He Y.; Zhou P.; Yu J.; Lou X.";IEEE Transactions on Very Large Scale Integration (VLSI) Systems;"Neural rendering, a transformative approach for 3-D scene reconstruction and rendering, has advanced rapidly in recent years. This article introduces an energy-efficient neural rendering coprocessor that implements the popular and widely used instant neural graphics primitive (Instant-NGP) algorithm. In particular, we address the challenges of limited resources for deploying Instant-NGP on edge by proposing a dedicated architecture, which incorporates three main innovations: 1) we optimize occupancy grid queries in the ray marching module by partitioning the grid and decoupling the query process from sampling point generation, which improves both efficiency and memory usage; 2) we introduce a bilinked list-based ray switching strategy, which ensures continuous pipeline utilization to overcome the inefficiencies caused by sequential processing; and 3) we optimize the hash encoding process by incorporating quantization-aware training (QAT), enabling the hash table to fit into on-chip memory, thereby improving performance on resource-constrained devices. To demonstrate the effectiveness of our architecture, we design and fabricate a proof-of-concept chip using 40-nm CMOS technology and develop a testing system to evaluate its performance. Measurement results validate the advantages of the proposed design, showing that our chip achieves superior energy efficiency compared to both server and edge graphics processing units (GPUs), as well as other state-of-the-art neural rendering chip designs. © 1993-2012 IEEE.";Scopus;10.1109/TVLSI.2025.3572959
TSFL-SS: Task-Specific Federated Learning for Resource-Limited Edge Devices;2025;"Jiang Y.; Zhao D.; Song B.";IEEE Internet of Things Journal;"The widespread deployment of IoT devices in resource-constrained edge environmentsłcharacterized by limited computational power, storage, and network bandwidthłposes significant challenges for federated learning (FL). Traditional FL frameworks inadequately support frequent model updates and complex computations, while existing methods fail to balance computational efficiency and model performance on resource-limited devices, resulting in inefficient training and prohibitive communication costs. To address these limitations, we propose TSFL-SS, a task-specific federated learning framework that integrates three synergistic modules: (1) an Importance-Aware Sub-model Selection (IASS) module dynamically extracts lightweight task-relevant parameters via one-shot low-rank decomposition, enabling edge devices to bypass full-model computations; (2) a Task-Specific Model Partitioning (TSMP) module decouples models into shared encoders (fixed task-agnostic features) and personalized predictors, minimizing redundant transmissions; and (3) a Semantic-Aware Aggregation (SAP) module aligns client updates by clustering parameters with high semantic similarity, mitigating conflicts from non-IID data distributions. Experiments on ResNet18 demonstrate that TSFL-SS achieves a 26.84% average accuracy improvement over FedAvg across both IID and non-IID settings, while reducing communication overhead by 55.44%. These advancements establish TSFL-SS as an efficient, scalable solution for FL in resource-constrained edge environments. © 2014 IEEE.";Scopus;10.1109/JIOT.2025.3581049
PISA: PUF-Based IoT Swarm Attestation Protocol;2025;"Mehjabin S.S.; Younis M.";IEEE Internet of Things Journal;Internet of Things (IoT) systems comprise a large number of resource-constrained edge devices that collaborate to serve application tasks. Remote attestation refers to checking the integrity of the software onboard the individual devices to ensure that it is not tampered with or infected by malware. Swarm attestation refers to collective integrity check of multiple devices as a means to cope with the large network size. Yet, existing swarm attestation schemes fall short of identifying the suspected devices and/or achieving important security properties. To fill the technical gap, this paper proposes PISA a lightweight attestation and aggregation framework utilizing Physical Unclonable Functions (PUFs) as the Root-of-Trust in both digest generation and aggregation, within a multi-prover network. The objective is to ensure the privacy and integrity of individual device attestation reports, verifying the authenticity of attestation requests across the network while also identifying the devices that fail the verification. PISA employs a network partitioning algorithm and optimized aggregation paths to amortize overhead and support scalability. The security properties of PISA are rigorously analyzed. The validation results show that PISA outperforms competing schemes, offering enhanced runtime and bandwidth efficiency and reduced energy consumption. © 2014 IEEE.;Scopus;10.1109/JIOT.2025.3583269
Edge real-time tracking and FPGA-based hardware implementation for infrared tiny object;2025;"Li Y.; Shen Z.; Wang X.; Yang X.; Wang J.";Digital Signal Processing: A Review Journal;Infrared tiny object tracking holds significant application value in video surveillance and air defense systems. Deep convolutional neural networks (DCNNs) have demonstrated impressive performance in object tracking over the past few years. However, the high complexity and computing power requirements of the DCNN model make it difficult to deploy on power-sensitive and resource-constrained edge devices. To address this issue, we designed and implemented an FPGA-based infrared tiny object tracker by a hardware-software co-optimization approach, meeting the requirements for accuracy, latency, and power consumption under limited resources. First, we propose a lightweight and hardware-friendly object tracking network, SiamITO-Tiny, effectively improving the tracking accuracy for infrared tiny objects. Second, we design a full-mapping hardware acceleration architecture, mainly comprising a layer-fusion-based convolutional accelerator, a parallel pipelined adder tree, and an efficient data caching scheme. This architecture increases computational parallelism and data access bandwidth through layer fusion, loop optimization, pipelining, and array partitioning, while simultaneously balancing resource consumption and latency, thereby effectively improving computational performance and energy efficiency. Finally, the SiamITO-Tiny network is deployed on the Xilinx All Programmable SoC (ZYNQ) platform ZCU104. Experiments show that our method achieves 45.45 FPS and has a tracking score of 0.9. The computational performance reaches 307.2 GOP/s. The energy efficiency is 30.03 GOP/s/W, which is 39 and 6.81 times higher than it is on the CPU and GPU platforms, respectively. Compared to other acceleration methods, the energy efficiency is improved by 1.4 to 9.3 times, confirming the superiority of the proposed approach in edge real-time tracking. © 2025 Elsevier Inc.;Scopus;10.1016/j.dsp.2025.105412
Model and system robustness in distributed CNN inference at the edge;2025;"Guo X.; Jiang Q.; Pimentel A.D.; Stefanov T.";Integration;Prevalent large CNN models pose a significant challenge in terms of computing resources for resource-constrained devices at the Edge. Distributing the computations and coefficients over multiple edge devices collaboratively has been well studied but these works generally do not consider the presence of device failures (e.g., due to temporary connectivity issues, overload, discharged battery of edge devices). Such unpredictable failures can compromise the reliability of edge devices, inhibiting the proper execution of distributed CNN inference. In this paper, we present a novel partitioning method, called RobustDiCE, for robust distribution and inference of CNN models over multiple edge devices. Our method can tolerate intermittent and permanent device failures in a distributed system at the Edge, offering a tunable trade-off between robustness (i.e., retaining model accuracy after failures) and resource utilization. We verify the system's robustness by validating the overall end-to-end latency under failures. We evaluate RobustDiCE using the ImageNet-1K dataset on several representative CNN models under various device failure scenarios and compare it with several state-of-the-art partitioning methods as well as an optimal robustness approach (i.e., full neuron replication). In addition, we demonstrate RobustDiCE's advantages in terms of memory usage and energy consumption per device, and system throughput for various system setups with different device counts. © 2024 The Authors;Scopus;10.1016/j.vlsi.2024.102299
BRSR-OpGAN: Blind radar signal restoration using operational generative adversarial network;2025;"Zahid M.U.; Kiranyaz S.; Yildirim A.; Gabbouj M.";Neural Networks;Many studies on radar signal restoration in the literature focus on isolated restoration problems, such as denoising over a certain type of noise, while ignoring other types of artifacts. Additionally, these approaches usually assume a noisy environment with a limited set of fixed signal-to-noise ratio (SNR) levels. However, real-world radar signals are often corrupted by a blend of artifacts, including but not limited to unwanted echo, sensor noise, intentional jamming, and interference, each of which can vary in type, severity, and duration. This study introduces Blind Radar Signal Restoration using an Operational Generative Adversarial Network (BRSR-OpGAN), which uses a dual domain loss in the temporal and spectral domains. This approach is designed to improve the quality of radar signals, regardless of the diversity and intensity of the corruption. The BRSR-OpGAN utilizes 1D Operational GANs, which use a generative neuron model specifically optimized for blind restoration of corrupted radar signals. This approach leverages GANs’ flexibility to adapt dynamically to a wide range of artifact characteristics. The proposed approach has been extensively evaluated using a well-established baseline and a newly curated extended dataset called the Blind Radar Signal Restoration (BRSR) dataset. This dataset was designed to simulate real-world conditions and includes a variety of artifacts, each varying in severity. The evaluation shows an average SNR improvement over 15.1 dB and 14.3 dB for the baseline and BRSR datasets, respectively. Finally, the proposed approach can be applied in real-time, even on resource-constrained platforms. This pilot study demonstrates the effectiveness of blind radar restoration in time-domain for real-world radar signals, achieving exceptional performance across various SNR values and artifact types. The BRSR-OpGAN method exhibits robust and computationally efficient restoration of real-world radar signals, significantly outperforming existing methods. © 2025 The Authors;Scopus;10.1016/j.neunet.2025.107709
A Practical Evaluation of a Federated Learning Application in IoT Device and Cloud Environment;2025;"Barbosa G.N.N.; Mattos D.M.F.";Journal of the Brazilian Computer Society;Internet of Things (IoT) devices have grown exponentially in recent years, resulting in valuable data for machine learning applications. Traditionally, machine learning models require centralized data collection and processing, which is not feasible in the IoT landscape due to high density and growing data privacy concerns. Federated Learning is a trend in this scenario, as it allows collaborative training of models on IoT devices, distributed and without the need to share data. This paper examines a federated learning framework for IoT devices, employing a parameter server topology in a benign node environment without considering strategies for optimizing model performance. The evaluation is conducted in two distinct scenarios: (i) a testbed of IoT devices equipped with ARM processors and limited to 2GB of RAM, and (ii) a virtualized cloud environment with a mixture of resourceconstrained virtual machines. The experiments use non-identically distributed (non-IID) datasets—MNIST for the IoT testbed and CIFAR-10 for the cloud environment—evaluated under various client configurations and aggregation strategies. In the IoT device scenario, the framework achieved an accuracy of up to 0.6 after ten rounds of global aggregation, while the cloud environment attained a maximum accuracy of 0.4. These results demonstrate the feasibility of applying FL in resource-constrained IoT environments, with scalability and accuracy influenced by the number of clients and local training epochs. © 2025, Brazilian Computing Society. All rights reserved.;Scopus;10.5753/jbcs.2025.4324
Extreme Edge Sensing-as-a-Service: Bridging Containerization for IoT End Devices;2025;"Berardi D.; Zyrianoff I.; Montori F.; Di Felice M.";Proceedings - IEEE INFOCOM;On the extreme edge of the IoT deployment, micro-controllers are often managed as semi-static software environments, with restricted multitenancy capabilities. This limitation reduces potential monetization opportunities for the IoT infras-tructure owners and restricts the flexibility for external clients to define custom sensing or edge processing strategies. In this paper, we introduce a radical shift in vision through the new paradigm of Extreme Edge-Sensing-as-a-Service, which allows clients to securely and efficiently rent sensing, computation, and communication resources from third-party IoT end devices. We support this new concept with the design and implementation of the FleXE framework that leverages research contributions in IoT security, edge computing and resource allocation algorithms. The core component of FleXE is a novel, lightweight containerization mechanism for embedded systems with secure access to shared sensing peripherals based on Berkeley Packet Filter (BPF). Furthermore, we incorporate this contribution with QoS-based orchestration algorithms designed to allocate containers to IoT end devices seamlessly for clients, while maximizing revenue for owners. Experimental results demonstrate that our containerization solution introduces negligible overhead compared to bare-metal or pure-Kernel (e.g., Zephyr) solutions, while also effectively handling secure sensing operations. Finally, we demonstrated the efficiency of the proposed container allocation heuristic through extensive simulations.  © 2025 IEEE.;Scopus;10.1109/INFOCOM55648.2025.11044737
High-Accuracy Low-Latency Method for UAV Inspection Image Inference and Offloading;2025;"Yin G.; Qi F.; Chen Y.; Song K.; Qiao K.";Journal of Circuits, Systems and Computers;DNNs can significantly improve the accuracy of identifying key components and detecting defects in power line inspection images. However, the inference process of DNNs requires a considerable amount of computing resources and energy-constrained UAVs for power line inspection cannot achieve the accuracy and real-time requirements. This paper introduces CFOD, a precision technique with minimal latency for image analysis and data transfer in UAV-based power line inspection. CFOD includes a feature restoration module (FRM) to recover low-level features from high-level features, reducing communication overhead. Concurrently, CFOD's adaptive collaboration scheduler (ACS) can dynamically choose the appropriate partition point for inference tasks according to system data and transfer a segment of the DNN model to the cloud server. Furthermore, our approach uses JPEG algorithm to compress the data transmission size of intermediate feature maps to further reduce latency. Experimental results show that compared to edge-only and traditional partition methods, our approach can save 46% and 33% of the inference latency, respectively.  © 2025 World Scientific Publishing Company.;Scopus;10.1142/S0218126625501774
Discretized-Isolation Forest: Memory- and Compute-Efficient Unsupervised Anomaly Detection for Resource-Constrained Internet of Things Edge Devices;2025;"Ortega E.; Su F.; Chattopadhyay R.; Chakrabarty K.";IEEE Internet of Things Journal;Memory and compute constraints make anomaly detection model training infeasible on Internet of Things (IoT) resource-limited edge devices. Many solutions train anomaly detection models (e.g., deep neural networks or DNNs) on the cloud and deploy them on IoT edge devices for inferencing. However, cloud-based training does not address overall communication latency and potential data leakage. Moreover, because anomalies rarely occur, using labels to define anomalies is impractical. Hence, supervised learning mechanisms are unsuitable for anomaly detection. There is a need for effective unsupervised anomaly detection for resource-constrained edge devices. We present the discretized isolation Forest (DIF) to address memory- and compute-efficient unsupervised anomaly detection for resource-constrained edge devices. We also present a discretization function, based on information entropy, to inform the growth of the isolation Forest (IF) ensemble to create the DIF. The DIF reduces the training time (memory usage) of the original IF by 79.38 × (166.66×). We test the DIF against general anomaly detection benchmarks and edge-anomaly detection benchmarks. The edge-anomaly detection benchmarks were curated from the built-in iPhone edge sensors. Across all the edge-sensor anomaly detection datasets and against all the other considered models, the discretized isolation resulted in the lowest training time, lowest memory usage, preserved anomaly detection performance, and highest inference speeds. In addition, across all general anomaly detection benchmarks and against all considered models, DIF incurs lower training time and memory usage while retaining competitive inferencing execution time and anomaly detection performance. © 2014 IEEE.;Scopus;10.1109/JIOT.2024.3468950
Deployable mixed-precision quantization with co-learning and one-time search;2025;"Wang S.; Zhang Z.; Ai G.; Cheng J.";Neural Networks;Mixed-precision quantization plays a pivotal role in deploying deep neural networks in resource-constrained environments. However, the task of finding the optimal bit-width configurations for different layers under deployable mixed-precision quantization has barely been explored and remains a challenge. In this work, we present Cobits, an efficient and effective deployable mixed-precision quantization framework based on the relationship between the range of real-valued input and the range of quantized real-valued. It assigns a higher bit-width to the quantizer with a narrower quantized real-valued range and a lower bit-width to the quantizer with a wider quantized real-valued range. Cobits employs a co-learning approach to entangle and learn quantization parameters across various bit-widths, distinguishing between shared and specific parts. The shared part collaborates, while the specific part isolates precision conflicts. Additionally, we upgrade the normal quantizer to dynamic quantizer to mitigate statistical issues in the deployable mixed-precision supernet. Over the trained mixed-precision supernet, we utilize the quantized real-valued ranges to derive quantized-bit-sensitivity, which can serve as importance indicators for efficiently determining bit-width configurations, eliminating the need for iterative validation dataset evaluations. Extensive experiments show that Cobits outperforms previous state-of-the-art quantization methods on the ImageNet and COCO datasets while retaining superior efficiency. We show this approach dynamically adapts to varying bit-width and can generalize to various deployable backends. The code will be made public in https://github.com/sunnyxiaohu/cobits. © 2024 Elsevier Ltd;Scopus;10.1016/j.neunet.2024.106812
